,desc,InitialInterestRate,InitialInterestRate,InitialInterestRate
,,mean,std,count
356,Fruit and Vegetable Markets,6.416250000000002,1.4173220987082928,344
740,Perishable Prepared Food Manufacturing,6.416559405940596,1.4791727111425166,202
801,Private Mail Centers,6.416979166666667,1.2440743217932926,480
368,"General Freight Trucking, Long-Distance, Truckload",6.4174130643612175,1.7193338777817029,9369
595,Office Supplies and Stationery Stores,6.4180839694656475,1.4076823719290021,524
280,Electronic Computer Manufacturing,6.418760869565217,1.4142864652977878,92
598,Offices of Certified Public Accountants,6.419659399096011,1.4331173203569123,3761
420,Ice Cream and Frozen Dessert Manufacturing,6.421937086092715,1.3804238741925072,302
332,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",6.422000000000001,1.5703490023430742,370
15,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,6.422461538461538,1.7115454105304047,130
926,Sporting Goods Stores,6.424119532554259,1.4598609563103275,2995
978,Tire and Tube Merchant Wholesalers,6.426641221374046,1.6094211146042168,131
322,Fish and Seafood Merchant Wholesalers,6.428241895261841,1.8343183240213239,401
259,Dog and Cat Food Manufacturing,6.430487804878048,1.4163170049309644,123
240,Dairy Product (except Dried or Canned) Merchant Wholesalers,6.430596026490067,1.7573932330919682,151
994,Truck Trailer Manufacturing,6.431818181818182,1.7490211025419002,88
638,Other Business Service Centers (including Copy Shops),6.434004854368933,1.223649260759951,412
47,All Other Miscellaneous Wood Product Manufacturing,6.434169921875001,1.3486537624868928,512
721,Packaged Frozen Food Merchant Wholesalers,6.436318965517243,1.5983452649951002,232
156,Child and Youth Services,6.437959866220738,1.361901620980573,299
481,Limited-Service Restaurants,6.438986390195287,1.3629911086923598,14034
342,Footwear Merchant Wholesalers,6.43921768707483,1.550605791989305,147
100,Baked Goods Stores,6.440895430579962,1.303010150258451,1138
562,Natural Gas Distribution,6.44377049180328,1.6995501011879837,61
73,Amusement and Theme Parks,6.4447530864197535,1.2282574083211586,243
94,"Automotive Body, Paint, and Interior Repair and Maintenance",6.445197394136814,1.4700279780443044,3070
492,Machine Tool Manufacturing,6.447595121951221,1.4240866412338806,205
599,Offices of Chiropractors,6.4491123689029655,1.295507277383166,6007
177,Commercial Screen Printing,6.4507517241379215,1.5433177194825176,1015
362,Furniture Stores,6.454712267180467,1.5472632550395848,1557
437,Inland Water Freight Transportation,6.456470588235295,1.3900515436909695,51
352,"Frozen Fruit, Juice, and Vegetable Manufacturing",6.458947368421053,1.6107947064930912,57
899,Site Preparation Contractors,6.45949386240369,1.5948706431092978,3503
644,Other Commercial and Service Industry Machinery Manufacturing,6.460710059171597,1.7083257516548942,169
185,Computer Facilities Management Services,6.461983606557378,1.451019520115662,305
1029,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers",6.4620295434198685,1.652266743747986,1117
99,Automotive Transmission Repair,6.462710437710437,1.3076139337182822,297
98,Automotive Parts and Accessories Stores,6.463838174273856,1.5359789106996276,2169
928,Sporting and Recreational Goods and Supplies Merchant Wholesalers,6.463858987090363,1.4959479245011358,1007
972,Third Party Administration of Insurance and Pension Funds,6.464329896907216,1.5505650228334074,97
42,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,6.466949152542374,1.9864569518385966,59
454,Iron and Steel Mills and Ferroalloy Manufacturing,6.467692307692308,1.2326117900773579,52
618,Ophthalmic Goods Manufacturing,6.469038461538461,1.3466185095476784,52
39,All Other Miscellaneous Food Manufacturing,6.469734806629832,1.4010077144290045,543
992,Travel Trailer and Camper Manufacturing,6.4708695652173915,1.5227623304670739,69
70,Ambulance Services,6.476314199395773,1.5691112166033663,331
659,Other Electronic and Precision Equipment Repair and Maintenance,6.476380846325167,1.4235031642571687,449
885,Service Establishment Equipment and Supplies Merchant Wholesalers,6.476741206030149,1.651454606777737,398
506,Meat Markets,6.480180412371129,1.426497251557009,776
449,Investment Advice,6.480655339805812,1.3468525408552043,2266
526,Metal Window and Door Manufacturing,6.480814814814814,1.5491625334362962,135
18,All Other Amusement and Recreation Industries,6.48209533898305,1.332771120225265,3304
292,Environmental Consulting Services,6.486351477449454,1.593009009683127,643
178,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,6.486361960213483,1.540239588911837,2061
46,All Other Miscellaneous Waste Management Services,6.489209677419353,1.3729910721555194,372
620,Optical Goods Stores,6.490864055299541,1.3745882028574186,434
301,Facilities Support Services,6.492270270270272,1.339280400728086,185
424,Industrial Building Construction,6.492296178343949,1.5575005038954235,628
855,"Rooming and Boarding Houses, Dormitories, and Workers' Camps",6.492327586206898,1.4645663436714376,58
975,Tire Dealers,6.492717391304347,1.4453448611529713,782
95,Automotive Exhaust System Repair,6.494088000000001,1.5662660859097244,125
727,"Paint, Varnish, and Supplies Merchant Wholesalers",6.494756097560975,1.3185665857330615,82
550,Motor Vehicle Transmission and Power Train Parts Manufacturing,6.497692307692309,1.440689670608661,52
655,Other Direct Selling Establishments,6.498616637579981,1.4698787973530774,1719
270,Drycleaning and Laundry Services (except Coin-Operated),6.499157037982792,1.4114283005584378,3133
262,Dried and Dehydrated Food Manufacturing,6.49969696969697,1.6650183364173683,66
361,Furniture Merchant Wholesalers,6.501447084233258,1.6620156713734164,463
658,Other Electronic Parts and Equipment Merchant Wholesalers,6.503867669172936,1.5786478822323347,665
377,Glass Product Manufacturing Made of Purchased Glass,6.504199999999997,1.5203135803347727,150
106,Beef Cattle Ranching and Farming,6.504929971988792,1.6984599131398357,357
786,Poured Concrete Foundation and Structure Contractors,6.504990865126263,1.5948843297196578,1861
575,Nonchocolate Confectionery Manufacturing,6.505779220779221,1.5661016521368274,77
929,Sports Teams and Clubs,6.5075507246376825,1.550123932283296,138
378,Glass and Glazing Contractors,6.50786461538461,1.4550709459541373,650
687,Other Motor Vehicle Parts Manufacturing,6.5091746031746025,1.5540139771796908,126
414,Household Appliance Stores,6.509783185840709,1.685600862700968,226
778,Portfolio Management,6.510311418685122,1.4972807203258307,289
979,Title Abstract and Settlement Offices,6.510500000000003,1.4856447992142383,230
290,Engineering Services,6.511665832638336,1.6158226874464416,3597
794,Prefabricated Wood Building Manufacturing,6.512571428571429,1.498651022129023,70
581,Nonresidential Property Managers,6.513373913043474,1.5175125829478757,460
393,Hardware Merchant Wholesalers,6.513716417910448,1.5471612967053758,335
350,Fresh Fruit and Vegetable Merchant Wholesalers,6.514538135593214,1.7041938299405832,472
812,Racetracks,6.514736842105263,1.7449090288026456,57
407,Home Furnishing Merchant Wholesalers,6.5172051282051235,1.555601096704585,507
196,Confectionery and Nut Stores,6.5234400000000035,1.438736134310639,375
894,Shoe Stores,6.528870165745855,1.488689264372636,724
803,Professional Employer Organizations,6.529519999999999,1.5790037978258271,125
954,Surveying and Mapping (except Geophysical) Services,6.530995061728394,1.5536332760375586,405
224,"Crop Harvesting, Primarily by Machine",6.531621621621621,1.3092913769146606,74
28,All Other Home Furnishings Stores,6.531750547045949,1.5370455718521867,914
502,Materials Recovery Facilities,6.534245283018866,1.4513456423721651,159
351,"Frozen Cakes, Pies, and Other Pastries Manufacturing",6.534927536231883,1.4836992948751295,69
353,Frozen Specialty Food Manufacturing,6.535856115107913,1.4935459195919372,139
871,Scheduled Passenger Air Transportation,6.5391379310344835,1.5940759678157044,58
